Time (s),Frequency (Hz)
0.14024,0.00144
0.14044,0.00132
0.14064,0.0012
0.14072,0.004
0.14084,0.00108
0.14092,0.004
0.14104,0.001
0.14112,0.004
0.14124,0.00092
0.14132,0.004
0.14144,0.00084
0.14152,0.004
0.14172,0.004
0.14192,0.004
0.14212,0.004
0.14232,0.004
0.14252,0.004
0.14272,0.004
0.14292,0.004
0.14312,0.004
0.14332,0.004
0.14352,0.004
0.14372,0.004
0.14392,0.004
0.14412,0.004
0.14432,0.004
0.14452,0.004
0.14472,0.004
0.14492,0.004
0.14512,0.004
0.14532,0.004
0.14552,0.004
0.14572,0.004
0.14592,0.004
0.14612,0.004
0.14632,0.004
0.14652,0.004
0.14672,0.004
0.14692,0.004
0.14712,0.004
0.14732,0.004
0.14752,0.004
0.14772,0.004
0.14792,0.004
0.14812,0.004
0.14832,0.004
0.14852,0.004
0.14872,0.004
0.14892,0.004
0.14912,0.004
0.14932,0.004
0.14952,0.004
0.14972,0.004
0.14992,0.004
0.15012,0.004
0.15032,0.004
0.15052,0.004
0.15072,0.004
0.15092,0.004
0.15104,8e-05
0.15116,0.004
0.15136,0.004
0.15156,0.004
0.15176,0.004
0.15196,0.004
0.15216,0.004
0.15236,0.004
0.15256,0.004
0.15276,0.004
0.15296,0.004
0.15316,0.004
0.15336,0.004
0.15356,0.004
0.15376,0.004
0.15396,0.004
0.15416,0.004
0.15436,0.004
0.15456,0.004
0.15476,0.004
0.15496,0.004
0.15516,0.00384
0.15536,0.00372
0.15556,0.00364
0.15576,0.00356
0.15596,0.00352
0.15616,0.00356
0.15636,0.00368
0.15656,0.00392
0.15676,0.004
0.15696,0.004
0.15716,0.004
0.15736,0.004
0.15756,0.004
0.15776,0.004
0.158,0.004
0.1582,0.004
0.1584,0.004
0.15848,0.00068
0.1586,0.004
0.1588,0.004
0.159,0.004
0.15924,0.00104
0.15944,0.00104
0.15964,0.001
0.15984,0.001
0.16,0.00108
0.1602,0.00104
0.1604,0.00096
0.1606,0.00092
0.1608,0.00088
0.161,0.004
0.1612,0.004
0.1614,0.004
0.16152,0.00084
